,date,open,high,low,close,volume,amount
478,2016-01-11,4300.96,4311.1401,4217.6299,4283.5498,737145214,3153740000000
479,2016-01-12,4322.77,4353.1899,4273.02,4333.7202,629877621,2721500000000
480,2016-01-13,4352.6401,4359.5,4177.2998,4183.1201,811480885,3463510000000
481,2016-01-14,4201.23,4308.25,4133.3198,4272.9702,859697339,3635610000000
482,2016-01-15,4123.8701,4184.6899,4085.79,4143.0801,945117309,3907450000000
483,2016-01-19,4199.5601,4202.04,4101.0498,4147.0801,778927505,3242230000000
484,2016-01-20,4078.23,4178.6299,3992.9099,4134.79,988042038,4047160000000
485,2016-01-21,4146.4399,4200.3599,4099.2998,4142.6001,811264612,3364460000000
486,2016-01-22,4226.4399,4260.5498,4209.2402,4259.77,704949976,2988280000000
487,2016-01-25,4245.4702,4268.1099,4193.3198,4196.5298,658812018,2784050000000
488,2016-01-26,4211.9199,4250.9702,4177.8501,4233.8501,612407500,2583530000000
489,2016-01-27,4214.9399,4226.0898,4111.9302,4128.8599,759417692,3167120000000
490,2016-01-28,4197.2002,4197.48,4116.5,4186.0601,927124514,3870110000000
491,2016-01-29,4186.3501,4275.46,4184.3101,4273.6602,806905477,3413170000000
492,2016-02-01,4254.4102,4301.6299,4238.2002,4286.5601,676909781,2890540000000
493,2016-02-02,4262.4502,4265.04,4180.5698,4193.1001,813420941,3436940000000
494,2016-02-03,4213.6699,4218.1499,4099.2402,4171.9702,937132125,3913240000000
